name,description,price,barcode,available_items,category,brand
Camera13456,"Release Left Clavicle, Percutaneous Approach",1000,878085190-8,7,MycoCan-Chord,Energetix Corp
Camera1346878,"Dilation of Right Hypogastric Vein, Open Approach",200,764575873-2,6,Lidocaine Hydrochloride,Cardinal Health
"OCTINOXATE, OXYBENZONE, TITANIUM DIOXIDE","Fragmentation in Peritoneal Cavity, Percutaneous Approach",88,402749491-1,10,Lingerie De Peau BB Beauty Booster Invisible Skin-Fusion Multi-Perfecting Makeup With Sunscreen Broad Spectrum SPF 30 MEDIUM,Guerlain
Benzocaine,"Insert of Int Fix into R Sternoclav Jt, Perc Endo Approach",449,827995328-0,8,GPS Topical Anesthetic,"Group Practice Solutions, Inc."
Fluoxetine Hydrochloride,"Insert Intralum Dev in L Thyroid Art, Perc Endo",504,786779142-6,5,Fluoxetine Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC"
oxycodone hydrochloride,"Revision of Int Fix in R Humeral Shaft, Perc Approach",970,842923894-8,7,OXYCODONE HYDROCHLORIDE,"Dispensing Solutions, Inc."
"thrombin, topical (bovine)","Dilate of R Verteb Art with Intralum Dev, Perc Endo Approach",770,853617582-6,8,THROMBIN-JMI,Pfizer Laboratories Div Pfizer Inc
tamsulosin hydrochloride,"Restrict of R Low Lobe Bronc with Intralum Dev, Via Opening",333,379503404-3,8,Flomax,"Boehringer Ingelheim Pharmaceuticals, Inc."
Isopropyl Alcohol,"Supplement Left 5th Toe with Autol Sub, Perc Endo Approach",386,993840788-9,8,Isopropyl Alcohol,CVS
TOLNAFTATE,"Removal of Synth Sub from Vas Deferens, Perc Approach",891,465397504-3,3,DermaTAF Antifungal Treatment,"DermaTAF, Inc."
"Octinoxate, Octisalate, Oxybenzone, and Titanium Dioxide",Fluoroscopy of Mult Cor A Graft using H Osm Contrast,517,904059679-4,5,Nu Skin Nu Colour,"NSE Products, Inc."
Yellow Onion,"Release Tongue, External Approach",376,060712305-2,5,Yellow Onion,"Nelco Laboratories, Inc."
ropinirole,"Drainage of Coccyx, Open Approach, Diagnostic",10,113075650-5,9,REQUIP,GlaxoSmithKline LLC
OCTINOXATE OCTISALATE OXYBENZONE,"Extirpate matter from L Hand Art, Bifurc, Perc Endo",123,590693688-2,3,HYDRATION DYNAMICS MOISTURE REPLENISHMENT,JAFRA COSMETICS INTERNATIONAL
CLOTRIMAZOLE,"Drainage of Right Knee Tendon, Open Approach",289,965347707-2,7,Dr Sheffield Athletes Foot,Faria Limited dba Sheffield Pharmaceuticals
Lidocaine HCI,"Reposition Lumbosacral Plexus, Open Approach",911,438344923-9,6,Derma Numb,Atlas Tat Inc.
Undecylenic Acid,"Insert Pace, Singl Cham Rt Respn in Chest Subcu/Fascia, Open",777,063899498-5,2,Pinceladas Para Hongos Navarro,"Menper Distributors, Inc."
Pseudoephedrine hydrochloride,"Dilation of R Renal Art with 4+ Intralum Dev, Perc Approach",261,145180772-4,8,Childrens Sudafed,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc"
"Octinoxate, Titanium Dioxide","Destruction of Left Eustachian Tube, Open Approach",564,912745154-2,6,The Cure Sheer Cream,Natura Bisse International
"OCTINOXATE, TITANIUM DIOXIDE, ZINC OXIDE, HYDROXYPROLINE, ATRACTYLODES JAPONICA ROOT OIL",Contact Radiation of Abdomen Skin,793,375718564-1,8,ISA KNOX SMART BB SUN,"LG Household and Healthcare, Inc."
"Octinoxate, Titanium Dioxide, and Zinc Oxide","Bypass Thor Aorta Asc to Subclav w Synth Sub, Perc Endo",639,824176561-4,10,LBEL EFFET PARFAIT MINERAL NATURAL SKIN EFFECT MOUSSE FOUNDATION SPF 16,Ventura Corporation LTD
Ranitidine,"Repair Lung Lingula, Percutaneous Approach",606,839484879-6,2,Ranitidine,Amneal Pharmaceuticals
Triamcinolone Acetonide,"Detachment at Right Little Finger, Low, Open Approach",518,174799829-X,9,Triamcinolone Acetonide,A-S Medication Solutions LLC
Titanium Dioxide,"Drainage of Stomach, Pylorus, Open Approach",516,230409366-3,9,bareMinerals 5-in-1 BB Advanced Performance Eyeshadow Broad Spectrum SPF 15,"Bare Escentuals Beauty, Inc."
ETHYL ALCOHOL,"Excision of Cervicothoracic Vertebral Joint, Open Approach",950,085820048-1,10,WATERLESS HAND SANITIZER,THE KROGER COMPANY
Menthol,"Division of Lumbar Nerve, Percutaneous Approach",281,379099566-5,4,Halls,Mondelez Global LLC
dexmethylphenidate hydrochloride,"Revision of Drainage Device in Upper Muscle, Extern Approach",206,463741878-X,1,Dexmethylphenidate Hydrochloride Extended-Release,Par Pharmaceutical Inc.
BENZALKONIUM CHLORIDE,"Drainage of Face Artery, Open Approach",232,714327769-X,8,MARVEL ULTIMATE SPIDER-MAN ANTIBACTERIAL HAND WIPES,"Bolero Home Decor, Inc."
"OCTINOXATE, OCTISALATE","Revise Infusion Dev in L Finger Phalanx Jt, Extern",211,621219163-8,1,RESILIENCE LIFT,ESTEE LAUDER INC
"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","Revision of Synth Sub in Tracheobronc Tree, Open Approach",593,810611387-6,5,Neutrogena Beach Defense,Neutrogena Corporation
"Calcarea carbonica, Causticum, Chloramphenicolum, Colchicum autumnale, Gambogia, Histaminum hydrochloricum, Hydrastis canadensis, Ichthyolum, Lecithin, Ova tosta, Ovi gallinae pellicula, Pulsatilla, Pyrogenium","Replacement of R Fem Art with Autol Sub, Open Approach",428,502280306-2,9,Eggs and Meats Intolerances,King Bio Inc.
benzethonium chloride and benzocaine,"Dilation of Superior Mesenteric Vein, Open Approach",437,136549382-2,7,Your Logo Here Poison Ivy First Aid,"Dixon Investments, Inc."
Ofloxacin,Fluoroscopy of Right Scapula,592,115710851-2,10,Ofloxacin Otic,REMEDYREPACK INC.
METFORMIN HYDROCHLORIDE,"Drainage of Left Rib with Drainage Device, Perc Approach",89,196255193-8,8,METFORMIN HYDROCHLORIDE,Contract Pharmacy Services-PA
Clindamycin hydrochloride,"Excision of Superior Vena Cava, Percutaneous Approach, Diagn",933,687544141-1,8,Clindamycin hydrochloride,American Health Packaging
BENZALKONIUM CHLORIDE,MRI of Spinal Cord using Oth Contrast,363,426977980-2,10,GOODSENSE ANTIBACTERIAL MOISTURIZING,"GEISS, DESTIN AND DUNN, INC."
Acetaminophen,"Dilation of L Lacrml Duct with Intralum Dev, Perc Approach",49,255238752-7,6,Childrens Pain Relief,"GREAT LAKES WHOLESALE, MARKETING, & SALES, INC."
clonidine hydrochloride,"Reposition Sacrum with Int Fix, Perc Approach",514,412415086-5,7,Clonidine Hydrochloride,REMEDYREPACK INC.
Anti-bacterial Hand Wash,"Alteration of Chest Subcu/Fascia, Perc Approach",705,465038913-5,5,Pier 1 Imports Sweet Cherry Anti-bacterial Hand Wash,"Xiamen Anna Global Co., Ltd"
Benzoyl Peroxide,"Destruction of Scalp Subcu/Fascia, Perc Approach",366,000877304-1,7,Proactiv Solution,Guthy-Renker LLC
PETROLATUM,"Drainage of Other Fetal Fluid from POC, Via Opening",902,387383127-9,10,RITE AID RENEWAL,RITE AID CORPORATION
"Mineral oil, Petrolatum, Phenylephrine HCl, Shark liver oil","Repair Hypothalamus, Percutaneous Approach",62,896794096-3,7,Hemorrhoidal,Meijer Distribution Inc
Argentum Metallicum,"Restrict R Verteb Art w Extralum Dev, Perc Endo",187,915459926-1,4,Sovereign Silver,Natural Immunogenics Corp.
oxymetazoline hydrochloride,"Restriction of Cervix, Via Natural or Artificial Opening",82,420738745-5,8,Zicam,"Matrixx Initiatives, Inc."
Trolamine Salicylate,"Revision of Synth Sub in R Toe Phalanx, Open Approach",687,173824355-9,6,Asper-Flex,Geritrex Corp.
Oxycodone Hydrochloride,"Occlusion L Axilla Vein w Intralum Dev, Perc Endo",821,560263203-4,9,Oxycodone Hydrochloride,"H.J. Harkins Company, Inc."
Alprazolam,"Bypass L Ext Iliac Art to R Femor A w Synth Sub, Open",172,427856329-9,5,Alprazolam,Aidarex Pharmaceuticals LLC
Ceftriaxone,"Repair Left Ring Finger, Open Approach",820,236511953-0,2,Ceftriaxone,Cephazone Pharma LLC
Hydrogen peroxide,"Drainage of Left Shoulder Joint, Percutaneous Approach",81,968352905-4,2,Dynarex HP 3,Dynarex Corporation
Hydralazine Hydrochloride,"Drainage of Dura Mater, Open Approach",587,313897288-8,9,Hydralazine Hydrochloride,McKesson Packaging Services a business unit of McKesson Corporation
RISPERIDONE,"Drainage of Left Ovary, Percutaneous Approach, Diagnostic",74,906812001-8,4,RISPERIDONE,"Breckenridge Pharmaceutical, Inc."
